Location,Site,Transect,Latitude,Longitude,Date ,Time,Coral,Macroaglae,Turf Algae,CCA,Abiotic,Invertebrates Other Bio,Total points
Kuau Bay,TV2,1,20.9260200,-156.3706800,04/04/14,12:22 PM,0,170,1,3,70,6,250
Kuau Bay,TV2,2,20.9261500,-156.3705600,04/04/14,12:29 PM,0,149,0,0,96,5,250
Kuau Bay,TV2,3,20.9264078,-156.3703257,04/04/14,12:06 PM,0,163,5,1,77,4,250
Kuau Bay,TV2,4,20.9264920,-156.3703316,04/04/14,12:12 PM,0,149,0,2,93,6,250
Kuau Bay,TV2,5,20.9265310,-156.3702853,04/04/14,12:16 PM,0,176,1,3,68,2,250
Waiehu Bay,WB1,1,20.9161900,-156.4914700,03/27/14,10:42 AM,0,3,99,8,130,10,250
Waiehu Bay,WB1,2,20.9163741,-156.4914812,03/27/14,11:09 AM,0,21,163,3,59,4,250
Waiehu Bay,WB1,3,20.9166448,-156.4914753,03/27/14,11:34 AM,0,69,99,5,70,7,250
Waiehu Bay,WB1,4,20.9168244,-156.4914421,03/27/14,12:10 PM,0,86,88,5,67,4,250
Waiehu Bay,WB1,5,20.9170177,-156.4914819,03/27/14,12:23 PM,0,53,85,4,106,2,250
Waiehu Bay,WB2,1,20.9166856,-156.4910206,03/27/14,1:34 PM,0,25,46,1,172,6,250
Waiehu Bay,WB2,2,20.9166865,-156.4910163,03/27/14,1:55 PM,0,68,79,3,98,2,250
Waiehu Bay,WB2,3,20.9168682,-156.4910080,03/27/14,2:08 PM,0,28,117,11,89,5,250
Waiehu Bay,WB2,4,20.9173215,-156.4910211,03/27/14,2:24 PM,0,19,47,5,179,0,250
Waiehu Bay,WB2,5,20.9173266,-156.4910167,03/27/14,2:32 PM,0,10,127,0,113,0,250
Honomanu Bay,HM1,1,21.0135440,-156.6397410,03/28/14,10:34 AM,60,7,156,26,1,0,250
Honomanu Bay,HM1,2,21.0135400,-156.6396490,03/28/14,10:45 AM,58,6,168,18,0,0,250
Honomanu Bay,HM1,3,21.0135550,-156.6395600,03/28/14,10:59 AM,7,10,193,37,3,0,250
Honomanu Bay,HM1,4,21.0136020,-156.6393850,03/28/14,11:10 AM,41,7,182,14,6,0,250
Honomanu Bay,HM1,5,21.0135980,-156.6392940,03/28/14,11:25 AM,45,2,118,75,10,0,250
Honomanu Bay,HM2,1,21.0138320,-156.6398840,03/28/14,12:04 PM,42,1,144,56,7,0,250
Honomanu Bay,HM2,2,21.0138200,-156.6397910,03/28/14,12:24 PM,45,4,151,33,9,8,250
Honomanu Bay,HM2,3,21.0138900,-156.6395290,03/28/14,12:38 PM,44,10,173,21,2,0,250
Honomanu Bay,HM2,4,21.0138540,-156.6395230,03/28/14,1:03 PM,22,18,153,43,14,0,250
Honomanu Bay,HM2,5,21.0139190,-156.6393510,03/28/14,1:22 PM,10,7,180,23,10,20,250
Kahului Bay,KW1,1,20.8972180,-156.4551550,03/29/14,8:37 AM,0,0,11,2,32,205,250
Kahului Bay,KW1,2,20.8972630,-156.4551500,03/29/14,8:48 AM,0,0,10,9,9,222,250
Kahului Bay,KW1,3,20.8972810,-156.4551480,03/29/14,8:55 AM,0,0,20,21,18,191,250
Kahului Bay,KW1,4,20.8972900,-156.4552380,03/29/14,9:11 AM,0,0,14,19,20,197,250
Kahului Bay,KW1,5,20.8972460,-156.4553330,03/29/14,9:17 AM,0,0,53,22,39,136,250
Kahului Bay,KW2,1,20.8974770,-156.4567000,03/29/14,9:49 AM,0,0,21,1,54,174,250
Kahului Bay,KW2,2,20.8975030,-156.4566960,03/29/14,9:55 AM,0,0,12,1,43,194,250
Kahului Bay,KW2,3,20.8974540,-156.4567940,03/29/14,10:03 AM,0,0,37,1,135,77,250
Kahului Bay,KW2,4,20.8974830,-156.4570630,03/29/14,10:13 AM,0,2,12,0,163,73,250
Kahului Bay,KW2,5,20.8975370,-156.4570550,03/29/14,10:23 AM,0,0,17,0,38,195,250
